vg_name,developer,year_released,avg_score,num_reviews,country,est,status,genre,NA_sales,EU_sales,Japan_sales,Nonspec_sales,Tot_sales
Rugby 15,HB Studios,2015,17.75,4.0,Canada,2000.0,Independent,Sports,0.05,0.06,0.0,0.02,0.13
Rugby World Cup 2015,HB Studios,2015,27.0,5.0,Canada,2000.0,Independent,Sports,0.0,0.05,0.0,0.01,0.06
Saint Seiya: Soldiers' Soul,Bandai,2015,60.69,13.0,Japan,1950.0,Subsidiary,Fighting,0.0,0.21,0.05,0.04,0.3
Samurai Warriors 4,Omega Force,2014,79.19,21.0,Japan,1997.0,Subsidiary,Fighting,0.08,0.07,0.06,0.03,0.25
Samurai Warriors 4-II,Omega Force,2015,74.55,20.0,Japan,1997.0,Subsidiary,Action,0.04,0.02,0.07,0.01,0.13
S�bastien Loeb Rally Evo,Milestone,2016,71.08,13.0,Japan,2003.0,Defunct,Racing,0.0,0.04,0.0,0.01,0.05
Secret of Mana,Square Enix,2018,60.35,30.0,Japan,1975.0,Independent,Role-Playing,0.06,0.12,0.05,0.04,0.28
Senran Kagura: Estival Versus,Marvelous,2016,67.25,20.0,Japan,1997.0,Independent,Action,0.08,0.0,0.09,0.02,0.18
Senran Kagura: Peach Beach Splash,Marvelous,2017,70.0,19.0,Japan,1997.0,Independent,Action,0.09,0.02,0.08,0.02,0.21
SG/ZH: School Girl/Zombie Hunter,Tamsoft,2017,57.73,11.0,Japan,1992.0,Independent,Action,0.04,0.0,0.02,0.01,0.07
Shadow of the Colossus,Sony Interactive Entertainment,2018,92.27,51.0,USA,1994.0,Subsidiary,Action-Adventure,0.44,0.52,0.05,0.19,1.2
Shadow Tactics: Blades of the Shogun,Mimimi Productions,2017,86.33,9.0,Germany,2011.0,Independent,Strategy,0.02,0.01,0.0,0.01,0.04
Shadow Warrior (2013),Flying Wild Hog,2014,71.07,15.0,Poland,2009.0,Independent,Shooter,0.0,0.09,0.0,0.02,0.11
Shaq-Fu: A Legend Reborn,Saber Interactive,2018,35.0,8.0,USA,2001.0,Independent,Action,0.02,0.0,0.0,0.0,0.02
Sherlock Holmes: Crimes & Punishments,Frogwares,2014,75.0,30.0,Ukraine,2000.0,Independent,Adventure,0.1,0.14,0.0,0.05,0.29
Sherlock Holmes: The Devil's Daughter,Frogwares,2016,68.82,17.0,Ukraine,2000.0,Independent,Adventure,0.05,0.0,0.0,0.01,0.06
Sine Mora,Digital Reality,2017,80.0,6.0,Hungary,1991.0,Defunct,Action,0.03,0.01,0.0,0.01,0.06
Singstar Celebration,Sony Interactive Entertainment,2017,65.83,6.0,USA,1994.0,Subsidiary,Music,0.04,0.15,0.0,0.03,0.23
Skylanders Imaginators,Activision,2016,81.49,35.0,USA,1979.0,Subsidiary,Platform,0.18,0.18,0.0,0.07,0.43
Skylanders: SuperChargers,Activision,2015,81.39,28.0,USA,1979.0,Subsidiary,Action-Adventure,0.29,0.09,0.0,0.08,0.45
Skylanders SWAP Force,Activision,2013,79.67,9.0,USA,1979.0,Subsidiary,Misc,0.23,0.14,0.0,0.08,0.44
Skylanders: Trap Team,Activision,2014,77.94,35.0,USA,1979.0,Subsidiary,Platform,0.25,0.18,0.0,0.09,0.52
Sleeping Dogs,Square Enix,2014,75.82,17.0,Japan,1975.0,Independent,Action,0.16,0.21,0.0,0.07,0.44
Sniper Elite 4,Rebellion Developments,2017,78.32,39.0,England,1992.0,Independent,Shooter,0.21,0.25,0.0,0.09,0.55
Sniper Elite 3,Rebellion Developments,2014,70.0,1.0,England,1992.0,Independent,Shooter,0.25,0.37,0.0,0.12,0.74
Song of the Deep,Insomniac Games,2016,70.5,30.0,USA,1994.0,Subsidiary,Action,0.12,0.0,0.0,0.03,0.15
Sonic Forces,Sega,2017,58.86,21.0,Japan,1960.0,Subsidiary,Platform,0.15,0.31,0.01,0.09,0.56
Sonic Mania,Sega,2017,87.02,40.0,Japan,1960.0,Subsidiary,Platform,0.1,0.15,0.01,0.05,0.31
South Park: The Fractured But Whole,Ubisoft,2017,81.06,43.0,France,1986.0,Independent,Role-Playing,0.62,0.57,0.0,0.24,1.43
Spintires: MudRunner,Saber Interactive,2018,75.0,2.0,USA,2001.0,Independent,Simulation,0.11,0.12,0.0,0.05,0.28
Star Ocean 5: Integrity and Faithlessness,Square Enix,2016,58.41,40.0,Japan,1975.0,Independent,Role-Playing,0.1,0.13,0.16,0.05,0.45
Star Trek Bridge Crew VR,Red Storm Entertainment,2017,78.02,23.0,USA,1996.0,Subsidiary,Action,0.11,0.12,0.0,0.05,0.28
Star Wars Battlefront (2015),Electronic Arts,2015,74.31,44.0,USA,1982.0,Independent,Shooter,3.31,3.19,0.23,1.3,8.03
Star Wars Battlefront II (2017),Electronic Arts,2017,65.28,34.0,USA,1982.0,Independent,Shooter,1.7,1.99,0.12,0.73,4.53
Starblood Arena VR,Sony Interactive Entertainment,2017,66.67,9.0,USA,1994.0,Subsidiary,Shooter,0.04,0.0,0.0,0.01,0.05
Steep,Ubisoft,2016,69.82,34.0,France,1986.0,Independent,Sports,0.23,0.6,0.02,0.15,1.01
Steins;Gate 0,Chunsoft,2019,77.5,2.0,Japan,1984.0,Defunct,Adventure,0.0,0.0,0.07,0.0,0.07
Street Fighter V,Capcom,2016,77.4,59.0,Japan,1979.0,Independent,Fighting,0.64,0.42,0.12,0.22,1.39
Styx: Shards of Darknes,Cyanide,2017,71.32,19.0,France,2000.0,Subsidiary,Action,0.06,0.0,0.0,0.01,0.07
Sudden Strike 4,Kalypso Media,2017,66.67,6.0,Germany,2006.0,Independent,Strategy,0.05,0.03,0.01,0.02,0.1
Super Stardust Ultra VR,Sony Interactive Entertainment,2016,67.6,10.0,USA,1994.0,Subsidiary,Shooter,0.0,0.02,0.0,0.0,0.02
Superbeat: Xonic,Rising Star Games,2017,82.5,2.0,England,2004.0,Subsidiary,Music,0.02,0.0,0.0,0.0,0.02
Sword Art Online: Hollow Fragment,Bandai,2015,64.13,23.0,Japan,1950.0,Subsidiary,Role-Playing,0.0,0.11,0.0,0.02,0.12
Sword Art Online: Fatal Bullet,Bandai,2018,62.0,25.0,Japan,1950.0,Subsidiary,Role-Playing,0.11,0.03,0.13,0.03,0.29
Sword Art Online: Hollow Realization,Bandai,2016,65.05,19.0,Japan,1950.0,Subsidiary,Role-Playing,0.18,0.06,0.12,0.05,0.41
Sword Art Online: Lost Song,Artdink,2015,62.28,25.0,Japan,1986.0,Independent,Role-Playing,0.19,0.11,0.0,0.06,0.36
Taiko no Tatsujin: Drum Session!,Bandai,2018,72.82,11.0,Japan,1950.0,Subsidiary,Music,0.0,0.0,0.09,0.0,0.09
Tales of Berseria,Bandai,2017,80.54,35.0,Japan,1950.0,Subsidiary,Role-Playing,0.22,0.1,0.26,0.07,0.65
Tales of Zestiria,Bandai,2015,73.8,41.0,Japan,1950.0,Subsidiary,Role-Playing,0.18,0.16,0.04,0.07,0.45
Tearaway Unfolded,Media Molecule,2015,81.75,44.0,England,2006.0,Subsidiary,Platform,0.07,0.13,0.0,0.04,0.24
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Activision,2016,47.87,35.0,USA,1979.0,Subsidiary,Action,0.07,0.03,0.0,0.02,0.12
Tekken 7,Bandai,2017,81.0,42.0,Japan,1950.0,Subsidiary,Fighting,0.6,0.72,0.12,0.26,1.7
The Silver Case,Grasshopper Manufacture,2018,67.88,8.0,Japan,1998.0,Subsidiary,Visual Novel,0.05,0.0,0.01,0.01,0.07
The Amazing Spider-Man 2 (2014),Activision,2014,50.57,35.0,USA,1979.0,Subsidiary,Action-Adventure,0.2,0.26,0.02,0.09,0.56
The Crew,Ivory Tower,2014,58.73,37.0,France,2007.0,Subsidiary,Racing,0.44,1.04,0.03,0.27,1.79
The Crew 2,Ivory Tower,2018,63.86,28.0,France,2007.0,Subsidiary,Racing,0.22,0.42,0.05,0.12,0.82
The Crew: Wild Run,Ivory Tower,2015,69.8,5.0,France,2007.0,Subsidiary,Racing,0.0,0.12,0.0,0.02,0.14
The Elder Scrolls V: Skyrim,Bethesda Game Studios,2016,80.95,20.0,USA,2001.0,Subsidiary,Role-Playing,1.24,1.5,0.08,0.54,3.36
The Evil Within,Tango Gameworks,2014,75.44,45.0,Japan,2010.0,Subsidiary,Action,0.56,0.9,0.11,0.28,1.86
The Golf Club,HB Studios,2014,66.14,7.0,Canada,2000.0,Independent,Sports,0.09,0.02,0.0,0.02,0.13
The Inpatient,Sony Interactive Entertainment,2018,57.88,25.0,USA,1994.0,Subsidiary,Action,0.06,0.05,0.0,0.02,0.13
The Invisible Hours,Tequila Works,2017,83.75,4.0,Spain,2009.0,Independent,Adventure,0.09,0.0,0.0,0.02,0.11
The Last Guardian,Sony Interactive Entertainment,2016,82.13,62.0,USA,1994.0,Subsidiary,Action-Adventure,0.4,0.58,0.13,0.19,1.29
The Last of Us,Naughty Dog,2014,95.7,43.0,USA,1986.0,Subsidiary,Action-Adventure,2.7,2.86,0.11,1.1,6.77
The Legend of Heroes: Trails of Cold Steel III,Nihon Falcom,2019,80.83,12.0,Japan,1981.0,Independent,Role-Playing,0.0,0.0,0.13,0.0,0.13
The LEGO Movie Videogame,Warner Bros. Interactive Entertainment,2019,55.4,10.0,USA,1988.0,Subsidiary,Action-Adventure,0.26,0.32,0.01,0.11,0.71
The Order: 1886,Ready at Dawn,2015,62.61,66.0,USA,2003.0,Independent,Shooter,0.44,0.86,0.07,0.25,1.62
The Peanuts Movie: Snoopy's Grand Adventure,Activision,2015,65.0,2.0,USA,1979.0,Subsidiary,Platform,0.0,0.03,0.0,0.0,0.03
The Sims 4,Electronic Arts,2017,66.92,12.0,USA,1982.0,Independent,Simulation,0.44,0.72,0.01,0.22,1.39
The Talos Principle,Croteam,2015,88.06,27.0,Croatia,1993.0,Independent,Puzzle,0.0,0.04,0.0,0.01,0.04
The Technomancer,Spiders,2016,60.08,24.0,France,2008.0,Subsidiary,Role-Playing,0.04,0.04,0.0,0.02,0.09
The Walking Dead: A Telltale Games Series,Telltale Games,2014,86.67,3.0,USA,2004.0,Defunct,Adventure,0.12,0.26,0.03,0.07,0.48
The Walking Dead - The Telltale Series: A New Frontier,Telltale Games,2017,75.0,2.0,USA,2004.0,Defunct,Adventure,0.11,0.04,0.0,0.03,0.17
The Walking Dead: Season Two,Telltale Games,2018,80.0,3.0,USA,2004.0,Defunct,Misc,0.13,0.09,0.03,0.05,0.3
The Walking Dead: A Telltale Series Collection,Telltale Games,2017,80.0,1.0,USA,2004.0,Defunct,Adventure,0.06,0.0,0.0,0.01,0.07
The Witch and the Hundred Knight,Nippon Ichi Software,2018,55.0,12.0,Japan,1991.0,Independent,Role-Playing,0.03,0.01,0.06,0.01,0.11
The Witcher 3: Wild Hunt,CD Projekt Red,2015,92.23,51.0,Poland,2002.0,Subsidiary,Role-Playing,1.48,2.82,0.28,0.81,5.39
The Wolf Among Us,Telltale Games,2014,81.67,6.0,USA,2004.0,Defunct,Adventure,0.11,0.07,0.0,0.04,0.22
theHunter: Call of the Wild,THQ Nordic,2017,71.25,4.0,Austria,2011.0,Independent,Shooter,0.19,0.0,0.0,0.04,0.24
This Is The Police,THQ,2017,64.5,10.0,USA,1989.0,Defunct,Simulation,0.01,0.0,0.0,0.0,0.02
This War of Mine,11 bit studios,2016,75.26,19.0,Poland,2010.0,Independent,Action,0.0,0.02,0.0,0.0,0.03
Titanfall 2,Electronic Arts,2016,89.36,45.0,USA,1982.0,Independent,Shooter,0.75,0.62,0.06,0.28,1.72
Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,Now Production,2016,65.0,8.0,Japan,1986.0,Independent,Adventure,0.04,0.0,0.0,0.01,0.05
Tokyo Xanadu eX+,Nihon Falcom,2017,72.33,15.0,Japan,1981.0,Independent,Role-Playing,0.05,0.0,0.05,0.01,0.1
Tom Clancy's Ghost Recon Wildlands,Ubisoft,2017,71.5,45.0,France,1986.0,Independent,Shooter,1.07,1.35,0.22,0.47,3.12
Tom Clancy's Rainbow Six: Siege,Ubisoft,2015,74.55,31.0,France,1986.0,Independent,Shooter,1.29,2.06,0.36,0.64,4.36
Tom Clancy's The Division,Massive Entertainment,2016,80.04,39.0,Sweden,1997.0,Subsidiary,Shooter,1.49,2.04,0.16,0.69,4.37
Tony Hawk's Pro Skater 5,Activision,2015,32.96,27.0,USA,1979.0,Subsidiary,Sports,0.11,0.08,0.0,0.04,0.23
Torment: Tides of Numenera,Techland,2017,75.76,17.0,Poland,1991.0,Independent,Role-Playing,0.01,0.0,0.0,0.0,0.01
Toukiden 2,Koei Tecmo Games (formerly Koei),2017,77.5,30.0,Japan,1978.0,Subsidiary,Action,0.04,0.0,0.1,0.01,0.15
Toukiden Kiwami,Koei Tecmo Games (formerly Koei),2015,77.12,25.0,Japan,1978.0,Subsidiary,Action,0.06,0.07,0.03,0.03,0.19
Tour de France 2014,Cyanide,2014,53.33,6.0,France,2000.0,Subsidiary,Sports,0.0,0.03,0.0,0.01,0.04
Le Tour de France 2017,Cyanide,2017,55.0,2.0,France,2000.0,Subsidiary,Simulation,0.0,0.06,0.0,0.01,0.07
Toy Soldiers: War Chest,Krome Studios,2015,59.86,18.0,Australia,1999.0,Defunct,Action,0.07,0.0,0.0,0.02,0.09
TrackMania Turbo,Nadeo,2016,80.46,26.0,France,2000.0,Subsidiary,Racing,0.04,0.35,0.0,0.07,0.47
Transformers: Devastation,Activision,2015,78.35,40.0,USA,1979.0,Subsidiary,Action,0.11,0.09,0.0,0.04,0.24
Transformer: Rise of the Dark Spark,Activision,2014,43.91,23.0,USA,1979.0,Subsidiary,Shooter,0.08,0.11,0.01,0.04,0.23
Trials Fusion,RedLynx,2014,78.18,38.0,Finland,2000.0,Subsidiary,Misc,0.13,0.23,0.01,0.07,0.43
Tropico 5,Haemimont Games,2015,76.25,12.0,Bulgaria,1997.0,Independent,Simulation,0.07,0.18,0.08,0.05,0.38
UEFA Euro 2016,Konami,2016,75.0,2.0,Japan,1969.0,Independent,Sports,0.0,0.22,0.05,0.04,0.31
Ultimate Marvel vs. Capcom 3,Capcom,2016,78.65,17.0,Japan,1979.0,Independent,Fighting,0.19,0.0,0.02,0.04,0.26
Resident Evil: Umbrella Corps,Capcom,2016,38.47,36.0,Japan,1979.0,Independent,Shooter,0.0,0.0,0.04,0.0,0.04
Uncharted: The Lost Legacy,Naughty Dog,2017,85.46,59.0,USA,1986.0,Subsidiary,Action,0.58,1.38,0.04,0.36,2.37
Under Night In-Birth Exe:Latest,Arc System Works,2018,77.88,17.0,Japan,1988.0,Independent,Fighting,0.01,0.0,0.03,0.0,0.04
Until Dawn,Supermassive Games,2015,80.36,72.0,England,2008.0,Independent,Adventure,0.62,0.92,0.06,0.3,1.9
Until Dawn: Rush of Blood,Sony Interactive Entertainment,2016,73.31,29.0,USA,1994.0,Subsidiary,Shooter,0.5,0.21,0.0,0.15,0.85
Valentino Rossi: The Game,Milestone,2016,71.0,5.0,Japan,2003.0,Defunct,Racing,0.05,0.05,0.0,0.02,0.13
Valhalla Hills,Kalypso Media,2017,55.0,3.0,Germany,2006.0,Independent,Strategy,0.01,0.0,0.0,0.0,0.01
Valkyria Chronicles,Sega,2018,84.84,28.0,Japan,1960.0,Subsidiary,Role-Playing,0.14,0.08,0.08,0.04,0.33
Valkyria: Azure Revolution,Sega,2017,58.7,30.0,Japan,1960.0,Subsidiary,Role-Playing,0.04,0.03,0.07,0.02,0.16
Warhammer: The End Times - Vermintide,Fatshark,2016,71.25,8.0,Sweden,2008.0,Subsidiary,Action,0.03,0.03,0.0,0.01,0.07
Warriors Orochi 3,Omega Force,2014,77.06,18.0,Japan,1997.0,Subsidiary,Action,0.04,0.05,0.04,0.02,0.15
Wasteland 2,Chunsoft,2015,81.0,15.0,Japan,1984.0,Defunct,Role-Playing,0.1,0.0,0.03,0.02,0.15
Watch Dogs,Ubisoft,2014,81.26,53.0,France,1986.0,Independent,Action-Adventure,1.4,2.13,0.11,0.68,4.32
Watch Dogs 2,Ubisoft,2016,83.21,60.0,France,1986.0,Independent,Action,0.98,1.74,0.12,0.52,3.36
We Happy Few,Compulsion Games,2018,63.0,9.0,Canada,2009.0,Subsidiary,Action-Adventure,0.08,0.04,0.0,0.02,0.14
We Sing (2016),THQ,2016,80.0,1.0,USA,1989.0,Defunct,Music,0.02,0.0,0.0,0.01,0.03
Werewolves Within,Ubisoft,2016,77.44,9.0,France,1986.0,Independent,Misc,0.04,0.0,0.0,0.01,0.05
WipEout Omega Collection,Sony Interactive Entertainment,2017,86.48,23.0,USA,1994.0,Subsidiary,Racing,0.12,0.49,0.0,0.11,0.72
Wolfenstein II: The New Colossus,MachineGames,2017,87.72,38.0,Sweden,2009.0,Subsidiary,Shooter,0.55,0.58,0.01,0.22,1.36
Wolfenstein: The New Order,MachineGames,2014,81.1,48.0,Sweden,2009.0,Subsidiary,Shooter,0.48,0.84,0.03,0.25,1.61
Wolfenstein: The Old Blood,MachineGames,2015,77.11,37.0,Sweden,2009.0,Subsidiary,Shooter,0.13,0.25,0.02,0.07,0.48
Wonder Boy: The Dragon's Trap (Remake),DotEmu,2017,81.63,27.0,France,2007.0,Independent,Platform,0.03,0.0,0.0,0.01,0.04
World of Final Fantasy,Square Enix,2016,79.23,50.0,Japan,1975.0,Independent,Role-Playing,0.24,0.21,0.09,0.09,0.62
WRC 5: FIA World Rally Championship,Kylotonn,2015,68.22,9.0,France,2002.0,Subsidiary,Racing,0.0,0.05,0.0,0.01,0.06
WRC 6,Bandai,2017,67.77,13.0,Japan,1950.0,Subsidiary,Racing,0.03,0.02,0.01,0.01,0.08
WRC 7,Kylotonn,2017,74.3,10.0,France,2002.0,Subsidiary,Racing,0.06,0.0,0.0,0.01,0.07
WWE 2K15,2K Sports,2014,60.9,29.0,USA,2005.0,Subsidiary,Sports,0.4,0.57,0.0,0.19,1.16
WWE 2K16,2K Sports,2015,73.06,27.0,USA,2005.0,Subsidiary,Sports,0.43,0.65,0.0,0.21,1.29
WWE 2K17,2K Games,2016,69.22,30.0,USA,2005.0,Subsidiary,Sports,0.32,0.7,0.0,0.19,1.22
WWE 2K18,2K Games,2017,63.1,29.0,USA,2005.0,Subsidiary,Sports,0.45,0.67,0.0,0.22,1.33
XCOM 2,2K Games,2016,85.81,16.0,USA,2005.0,Subsidiary,Strategy,0.16,0.1,0.0,0.05,0.31
Yakuza 6,Sega,2018,84.6,54.0,Japan,1960.0,Subsidiary,Adventure,0.16,0.1,0.38,0.05,0.69
Yakuza Kiwami,Sega,2017,79.79,43.0,Japan,1960.0,Subsidiary,Adventure,0.13,0.07,0.21,0.04,0.45
Yakuza Kiwami 2,Sega,2018,85.25,40.0,Japan,1960.0,Subsidiary,Action,0.08,0.06,0.19,0.03,0.37
Yomawari: Midnight Shadows,Nippon Ichi Software,2017,79.58,12.0,Japan,1991.0,Independent,Action,0.02,0.0,0.04,0.0,0.06
Ys VIII: Lacrimosa of Dana,Nihon Falcom,2017,85.72,23.0,Japan,1981.0,Independent,Role-Playing,0.08,0.04,0.08,0.02,0.21
