vg_name,developer,year_released,avg_score,num_reviews
Assassin's Creed Odyssey: Story Arc 1 - Legacy of the First Blade,Ubisoft,2018,68.75,4.0
Assassin's Creed Odyssey: Story Arc 1 - Legacy of the First Blade: Episode 2,Ubisoft,2019,70.0,3.0
Assassin's Creed Odyssey: Story Arc 1 - Legacy of the First Blade: Episode 3,Ubisoft,2019,75.0,2.0
Assassin's Creed Origins,Ubisoft Montreal/Ubisoft,2017,82.81,39.0
Assassin's Creed Origins: The Curse of the Pharaohs,Ubisoft Sofia/Ubisoft,2018,84.86,7.0
Assassin's Creed Origins: The Hidden Ones,Ubisoft Montreal/Ubisoft,2018,74.5,6.0
Assassin's Creed Rogue Remastered,Ubisoft/Bandai Namco Games,2018,70.92,12.0
Assassin's Creed Syndicate,Ubisoft Quebec/Ubisoft,2015,77.8,56.0
Assassin's Creed Syndicate: Jack the Ripper,Ubisoft Quebec/Ubisoft,2015,75.0,2.0
Assassin's Creed Unity,Ubisoft Montreal/Ubisoft,2014,68.11,27.0
Assassin's Creed Unity: Dead Kings,Ubisoft Montreal/Ubisoft,2015,40.0,1.0
Assassin's Creed: The Ezio Collection,Ubisoft Montreal/Ubisoft,2016,69.08,13.0
Assault Android Cactus,Witch Beam,2016,85.39,18.0
Assault Gunners HD Edition,Marvelous AQL,2018,41.2,5.0
Assault Suit Leynos,Dracue/extreme Co.,Ltd.,66.67,6.0
Assetto Corsa,Kunos Simulazioni/505 Games,2016,64.62,16.0
Astebreed,Edelweiss/Limited Run Games,2015,77.5,6.0
Asterix & Obelix XXL 2,Etranges Libellules/Microids,2018,65.0,4.0
Astro Bot: Rescue Mission,JapanStudio,2018,90.87,23.0
At Sundown: Shots in the Dark,Mild Beast Games/Versus Evil,2019,60.0,1.0
Atari Flashback Classics: Volume 1,Code Mystics Inc./PQube,2016,72.5,4.0
Atari Flashback Classics: Volume 2,Code Mystics Inc./PQube,2016,70.0,4.0
Atari Flashback Classics: Volume 3,Atari SA,2018,72.5,2.0
Atelier Arland Series Deluxe Pack,Gust,2018,81.43,7.0
Atelier Firis: The Alchemist and the Mysterious Journey,Koei Tecmo Games,2017,75.05,20.0
Atelier Lulua: The Scion of Arland,Koei Tecmo Games,2019,78.87,15.0
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Gust/Koei Tecmo Games,2018,75.4,15.0
Atelier Sophie: The Alchemist of the Mysterious Book,Gust/Koei Tecmo Games,2016,76.15,23.0
Attack of the Earthlings,Team Junkfish/Wales Interactive Ltd.,2019,75.0,2.0
Attack of the Toy Tanks,Ratalaika Games,2019,55.0,1.0
Attack on Titan,Omega Force/Koei Tecmo Games,2016,74.9,42.0
Attack on Titan 2,Omega Force/Koei Tecmo Games,2018,75.7,27.0
Attack on Titan 2: Final Battle,Omega Force/Koei Tecmo Games,2019,72.0,5.0
Attractio,GameCoder Studios,2016,57.79,14.0
Aven Colony,Mothership Entertainment/Team 17,2017,72.45,11.0
Away: Journey to the Unexpected,Aurelien Regard Games/Playdius,2019,50.0,3.0
Awesome Pea,PigeonDev,2019,60.0,1.0
Awesomenauts Assemble!,Ronimo Games,2014,73.0,5.0
Axiom Verge,Tom Happ,2015,84.77,50.0
Azure Reflections,souvenir circ.,2018,76.67,3.0
Baboon!,Relevo,2017,50.0,1.0
Back to Bed,LOOT Interactive,2015,66.0,11.0
Backgammon Blitz,VooFoo Studios/The Fyzz Facility,2014,70.0,2.0
Bad North,Plausible Concept,2018,70.0,1.0
BADLAND: Game of the Year Edition,Frogmind,2015,73.33,3.0
Baja: Edge of Control HD,THQ Nordic,2017,66.25,4.0
Bard's Gold,Erdem Sen,2016,63.75,4.0
Baseball Riot,10tons,2016,58.33,3.0
Basement Crawl,Bloober Team,2014,28.94,16.0
Bastion,Supergiant Games,2015,89.73,15.0
Batman: Arkham Knight,Rocksteady Studios/Warner Bros. Interactive Entertainment,2015,88.45,56.0
Batman: Arkham Knight - A Matter of Family,Rocksteady Studios/Warner Bros. Interactive Entertainment,2015,64.33,6.0
Batman: Arkham Knight - Catwoman's Revenge,Rocksteady Studios/Warner Bros. Interactive Entertainment,2015,60.0,1.0
Batman: Arkham VR,Rocksteady Studios/Warner Bros. Interactive Entertainment,2016,76.43,37.0
Batman: Return to Arkham,Rocksteady Studios/Warner Bros. Interactive Entertainment,2016,73.88,16.0
Batman: The Enemy Within - Episode 1: The Enigma,Telltale Games,2017,75.0,5.0
Batman: The Enemy Within - Episode 2: The Pact,Telltale Games,2017,76.67,6.0
Batman: The Enemy Within - Episode 3: The Fractured Mask,Telltale Games,2017,71.43,7.0
Batman: The Enemy Within - Episode 4: What Ails You,Telltale Games,2018,79.29,7.0
