Developer,Country,Est.,Status
Legacy Interactive,US,1998,Independent
Legend Entertainment,US,1989,Defunct
Legendo Entertainment,Sweden,2004,Independent
Level-5,Japan,1998,Independent
Lift London,England,2012,Defunct
Limbic Entertainment,Germany,2002,Independent
Lionhead Studios,England,1997,Defunct
Liquid Entertainment,US,1999,Defunct
Little Green Men Games,Croatia,2006,Independent
LK Avalon,Poland,1989,Independent
Llamasoft,England,1982,Independent
Linden Lab,US,1999,Independent
Looking Glass Studios,US,1990,Defunct
LucasArts,US,1982,Defunct
Luma Arcade,South Africa,2006,Defunct
Luxoflux,US,1998,Defunct
MachineGames,Sweden,2009,Subsidiary
Magenta Software,England,1994,Defunct
MAGES.,Japan,2005,Independent
Majesco Entertainment,US,1986,Defunct
Marvelous,Japan,1997,Independent
Massive Entertainment,Sweden,1997,Subsidiary
Masthead Studios,Bulgaria,2005,Independent
Maxis,US,1987,Subsidiary
Mean Hamster Software,US,1985,Defunct
Media Molecule,England,2006,Subsidiary
Mediatonic,England,2005,Independent
MegaZebra,Germany,2009,Independent
Mercury Steam,Spain,2002,Independent
Metropolis Software,Poland,1992,Defunct
MicroProse Software,US,1982,Defunct
MTO,Japan,1996,Independent
Xbox Game Studios,US,2002,Subsidiary
Microsoft Casual Games,US,2013,Subsidiary
Midway Games,US,1988,Defunct
Milestone,Japan,2003,Defunct
Milestone srl,Italy,1996,Subsidiary
Mimimi Productions,Germany,2011,Independent
Mistwalker,Japan,2004,Independent
Mitchell Corporation,Japan,1960,Defunct
MLB Advanced Media,US,2000,Independent
Mojang AB,Sweden,2009,Subsidiary
Monolith Productions,US,1994,Subsidiary
Monolith Soft,Japan,1999,Subsidiary
Monster Games,US,1996,Independent
Mythic Entertainment,US,1995,Defunct
Nadeo,France,2000,Subsidiary
Namco Tales Studio,Japan,1986,Defunct
Nanobit,Croatia,2008,Independent
NAPS team,Italy,1993,Independent
Natsume,Japan,1987,Independent
NaturalMotion,England,2001,Subsidiary
Naughty Dog,US,1986,Subsidiary
NCSoft,South Korea,1997,Independent
NDcube,Japan,2000,Subsidiary
NDOORS Corporation,South Korea,1999,Independent
Neowiz,South Korea,1997,Independent
Nerve Software,US,1999,Independent
NetDevil,US,1997,Defunct
NetDragon Websoft,China,1999,Independent
NetEase,China,1997,Independent
NetherRealm Studios,US,2010,Subsidiary
Neverland,Japan,1993,Defunct
Neversoft,US,1994,Defunct
Nevosoft,Russia,2002,Independent
New World Computing,USA,1984,Defunct
NexonNexon Korea,JapanSouth Korea,20021994,Independent
Next Level Games,Canada,2002,Independent
NGD Studios,Argentina,2002,Independent
Niantic,US,2010,Independent
Nibris,Poland,2000,Defunct
Nihon Falcom,Japan,1981,Independent
Nikita Online,Russia,1991,Independent
Ninjabee,USA,2005,Subsidiary
